# E(eV) abs(cm^-1) abs**2
9.513839839213351635e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.649896778498212591e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.785953717783075767e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.922010657067938943e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.005806759635280212e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.019412453563766530e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.033018147492252847e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.046623841420739165e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.060229535349225483e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.073835229277711578e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.087440923206197896e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.101046617134684213e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.114652311063170531e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.128258004991656849e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.141863698920143166e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.155469392848629484e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.169075086777115802e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.182680780705601897e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.196286474634088215e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.209892168562574533e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.223497862491060850e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.237103556419547168e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.250709250348033486e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.264314944276519803e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.277920638205006121e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.291526332133492438e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.305132026061978756e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.318737719990465074e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.332343413918951391e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.345949107847437709e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.359554801775924027e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.373160495704410344e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.386766189632896662e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400371883561382758e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.413977577489869075e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.427583271418355393e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.441188965346841488e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.454794659275327806e+00 0.000000000000000000e+00 0.000000000000000000e+00
