# E(eV) abs(cm^-1) abs**2
1.292570638205006173e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.306176332133492490e+00 8.527916026103452701e-03 7.272535174827210328e-05
1.319782026061978808e+00 -2.575411784121186057e-02 6.632745857790271109e-04
1.333387719990465126e+00 1.036858899411080143e-01 1.075076377287956415e-02
1.346993413918951443e+00 -3.825871559659210219e-01 1.463729319100919857e-01
1.360599107847437761e+00 2.589580847464343361e+00 6.705928965554146970e+00
1.374204801775924079e+00 1.606110350904892670e+01 2.579590459283837731e+02
1.387810495704410396e+00 6.577355471692682443e+01 4.326160500100567333e+03
1.401416189632896714e+00 1.587346402211643692e+02 2.519668600614249226e+04
1.415021883561382809e+00 2.874679234205083844e+02 8.263780699569926946e+04
1.428627577489869127e+00 4.656156554164177237e+02 2.167979385688602342e+05
1.442233271418355445e+00 6.935924413117309086e+02 4.810704746447668876e+05
1.455838965346841540e+00 9.676863813564249313e+02 9.364169326626922702e+05
1.469444659275327858e+00 1.278070539108650337e+03 1.633464302937476197e+06
1.483050353203814176e+00 1.616415115156469710e+03 2.612797824506303295e+06
1.496656047132300493e+00 1.986265937401217798e+03 3.945252374080338515e+06
1.510261741060786811e+00 2.389306016796889253e+03 5.708783241901816800e+06
1.523867434989273129e+00 2.842493071861409135e+03 8.079766863580110483e+06
1.537473128917759446e+00 3.391719939896679534e+03 1.150376415069273487e+07
1.551078822846245764e+00 4.066354432524593449e+03 1.653523837091240846e+07
1.564684516774732082e+00 4.854101373044274624e+03 2.356230013979031146e+07
1.578290210703218399e+00 5.725182212109672946e+03 3.277771136185700819e+07
1.591895904631704717e+00 6.662256569137616680e+03 4.438566259301732481e+07
1.605501598560191034e+00 7.657950280048680725e+03 5.864420249169766903e+07
1.619107292488677352e+00 8.693617128135008898e+03 7.557897877060240507e+07
1.632712986417163670e+00 9.793665980023988595e+03 9.591589332827922702e+07
1.646318680345649987e+00 1.098134821541448036e+04 1.205900086281867921e+08
1.659924374274136305e+00 1.227570031089351505e+04 1.506928181228711307e+08
1.673530068202622623e+00 1.364331040280773232e+04 1.861399187473616898e+08
1.687135762131108940e+00 1.504753898954879878e+04 2.264284296419912875e+08
1.700741456059595258e+00 1.656410744199328838e+04 2.743696553498974442e+08
1.714347149988081576e+00 1.828606797738797104e+04 3.343802820736538172e+08
1.727952843916567449e+00 2.028155300329880629e+04 4.113413922256188393e+08
1.741558537845053767e+00 2.254962534461338873e+04 5.084856031824305058e+08
1.755164231773540084e+00 2.505376278269452450e+04 6.276910295715292692e+08
1.768769925702026402e+00 2.785457014621399867e+04 7.758770780303561687e+08
1.782375619630512720e+00 3.089521480645528572e+04 9.545142979370138645e+08
1.795981313558999037e+00 3.482771449679990474e+04 1.212969697070606232e+09
1.809587007487485133e+00 3.936975955359688669e+04 1.549977967308033228e+09
1.823192701415971451e+00 4.380300048249448446e+04 1.918702851269412041e+09
1.836798395344457768e+00 4.860619564317349432e+04 2.362562254902458191e+09
1.850404089272944086e+00 5.391209050465311157e+04 2.906513502581908226e+09
1.864009783201430404e+00 5.902193451083572290e+04 3.483588753401381016e+09
1.877615477129916721e+00 6.318811304916686640e+04 3.992737630714292049e+09
1.891221171058403039e+00 6.632522858119955345e+04 4.399035946348370552e+09
1.904826864986889357e+00 6.905807461582987162e+04 4.769017669645525932e+09
1.918432558915375674e+00 7.213800306294846814e+04 5.203891485909962654e+09
1.932038252843861992e+00 7.519405264261286356e+04 5.654145552820034981e+09
1.945643946772348309e+00 7.842449006807756086e+04 6.150400642437995911e+09
1.959249640700834627e+00 8.230387537099249312e+04 6.773927901083865166e+09
1.972855334629320945e+00 8.643916434910667886e+04 7.471729133371874809e+09
1.986461028557807262e+00 9.037624806439517124e+04 8.167866214197092056e+09
2.000066722486293358e+00 9.407600461839456693e+04 8.850294644960195541e+09
2.013672416414779676e+00 9.770115566014712385e+04 9.545515817328298569e+09
2.027278110343265993e+00 1.013832097026780393e+05 1.027855520961719131e+10
2.040883804271752311e+00 1.052900104705979174e+05 1.108598630489861870e+10
2.054489498200238629e+00 1.097651411070054019e+05 1.204838620224080658e+10
2.068095192128724946e+00 1.147960513048243738e+05 1.317813339517987061e+10
2.081700886057211264e+00 1.197008119587490946e+05 1.432828438358381081e+10
2.095306579985697581e+00 1.248627084844465717e+05 1.559069597007188606e+10
2.108912273914183899e+00 1.309978685587751679e+05 1.716044156694213486e+10
2.122517967842670217e+00 1.370625603561372554e+05 1.878614545137976837e+10
2.136123661771156534e+00 1.427118259579802107e+05 2.036666526826083374e+10
2.149729355699642852e+00 1.481143038384938554e+05 2.193784700156167603e+10
2.163335049628129170e+00 1.532306810358104412e+05 2.347964161069827652e+10
2.176940743556615487e+00 1.588136937973496388e+05 2.522178933755833054e+10
2.190546437485101805e+00 1.646927923908804078e+05 2.712371586550563431e+10
2.204152131413588123e+00 1.707156212266820949e+05 2.914382333081198883e+10
2.217757825342074440e+00 1.765665400121629646e+05 3.117574305186674500e+10
2.231363519270560758e+00 1.817288122374488739e+05 3.302536119723394775e+10
2.244969213199047076e+00 1.870971508817891008e+05 3.500534386808295441e+10
2.258574907127533393e+00 1.924652954407171637e+05 3.704288994908254242e+10
2.272180601056019711e+00 1.974516452370547631e+05 3.898715220681973267e+10
2.285786294984506029e+00 2.027336465085652599e+05 4.110093142665989685e+10
2.299391988912992346e+00 2.081894083833820769e+05 4.334282976302263641e+10
2.312997682841478664e+00 2.141906570509973099e+05 4.587763756793794250e+10
2.326603376769964981e+00 2.203573279342254973e+05 4.855735197431179810e+10
2.340209070698451299e+00 2.261830796772828326e+05 5.115878553230007172e+10
2.353814764626936729e+00 2.318667754522649630e+05 5.376220155863106537e+10
2.367420458555423046e+00 2.368981217248901376e+05 5.612072007678086090e+10
2.381026152483909364e+00 2.418604802980107197e+05 5.849649192998442841e+10
2.394631846412395682e+00 2.467382337081251899e+05 6.087975597340540314e+10
2.408237540340881999e+00 2.504375293043315178e+05 6.271895608405790710e+10
2.421843234269368317e+00 2.540229102588596870e+05 6.452763893638068390e+10
2.435448928197854634e+00 2.586700440017473302e+05 6.691019166386589813e+10
2.449054622126340952e+00 2.637305548507366912e+05 6.955380556187744141e+10
2.462660316054827270e+00 2.696745642643716419e+05 7.272437061117871094e+10
2.476266009983313587e+00 2.757828488321485929e+05 7.605617970997572327e+10
2.489871703911799905e+00 2.816378733585598529e+05 7.931989170993220520e+10
2.503477397840286223e+00 2.881859137710973737e+05 8.305112089608236694e+10
2.517083091768772540e+00 2.943628297326086904e+05 8.664947552818878174e+10
2.530688785697258858e+00 2.998260601025327924e+05 8.989566631660760498e+10
2.544294479625745176e+00 3.052221618612855091e+05 9.316056809127676392e+10
2.557900173554231493e+00 3.111693726646712166e+05 9.682637848452503967e+10
2.571505867482717811e+00 3.177568431857869145e+05 1.009694113913967743e+11
2.585111561411204129e+00 3.252006072478207643e+05 1.057554349543513794e+11
2.598717255339690446e+00 3.312423647397820023e+05 1.097215041984027710e+11
2.612322949268176764e+00 3.355116437312680064e+05 1.125680630792573090e+11
2.625928643196663081e+00 3.415727530586716603e+05 1.166719456320802917e+11
2.639534337125149399e+00 3.491890117925459635e+05 1.219329659566548004e+11
2.653140031053635717e+00 3.570858016920883092e+05 1.275102697700814209e+11
2.666745724982122034e+00 3.645473124175433186e+05 1.328947429908539276e+11
2.680351418910608352e+00 3.717962141735170735e+05 1.382324248737597656e+11
2.693957112839094670e+00 3.823199333846817026e+05 1.461685314632674561e+11
